ATC ID,Site Name,Initial Rent,Latitude,Longitude,City,County,Street
618001,Bungoma Stadium,120000,0.591345,34.552905,Bungoma,Bungoma,Mumias - Bungoma Rd
618002,Bungoma South,200000,0.558877,34.560273,Bungoma,Bungoma,Mumias - Bungoma Rd
618003,Busia Lwero,100000,0.459231,34.11786,Busia,Busia,Kisumu - Busia Rd
618004,Leisure Lodge,469003,-4.27827,39.590513,Mombasa,Mombasa,Diani Beach Road
618005,Diani Exchange,173522,-4.303082,39.579153,Mombasa,Mombasa,Diani Beach Road
618006,Msambweni Exc,173522,-4.479872,39.482115,Msambweni,Kwale,Off Ukunda-Ramisi Road
618007,Lunga Lunga Eackelberg,120000,-4.5597,39.129315,Lunga Lunga,Kwale,Lungalunga-Mtandikeni Rd
618008,Reef Hotel,744638,-4.271608,39.594932,Diani,Kwale,Diani Beach Road
618009,Diani Sea Resort,300000,-4.315773,39.573173,Diani,Kwale,80401 Diani Beach Road
618010,Leisure Lodge2,570113,-4.281229,39.591964,Mombasa,Mombasa,Diani Beach Road
618011,Embu,175713,-0.534481,37.450065,Embu,Embu,Meru - Nairobi Hwy
618012,Kamugere,175713,-0.420284,37.524577,Kamugere,Nyeri,Unnamed Road
618013,Langas,180000,0.482392,35.255608,Eldoret,Uasin Gishu,Eldoret -Webuye - Malaba Rd
618014,Broadway Industries,350000,0.502002,35.300918,Eldoret,Uasin Gishu,Elijah Cheriyot St
618015,West Indies,250000,0.518013,35.257315,Eldoret,Uasin Gishu,A1
618016,Eldoret TKL HSE,339745,0.516572,35.27506,Eldoret,Uasin Gishu,Elijah Cheriyot St
618017,Eldoret Hill,339745,0.534255,35.281835,Eldoret,Uasin Gishu,Kitale - Cherangani Rd
618018,Mwitirithia,150000,0.533865,35.304002,Eldoret,Uasin Gishu,Eldoret -Webuye - Malaba Rd
618019,Kahoya,256551,0.548367,35.237095,Eldoret,Uasin Gishu,Eldoret -Webuye - Malaba Rd
618020,DC Office,300000,0.531458,35.243297,Eldoret,Uasin Gishu,Off Eldoret-Kitale Road
618021,KFS,262500,0.521698,35.264757,Eldoret,Uasin Gishu,Eldoret -Webuye - Malaba Rd
618022,Saleyard,150000,0.509877,35.266535,Eldoret,Uasin Gishu,Eldoret -Webuye - Malaba Rd
